id,itemTime,1,2,3,4,correct,type,sentence
A11NPNK8885N99:3ATTHHXXWBWP7VVXH2QKINKHBEPIXX,1419456083848,0,0.0,0.0,4.0,True,training,The letter is not connected to any of the rectangles.
A11NPNK8885N99:3ATTHHXXWBWP7VVXH2QKINKHBEPIXX,1419456102071,0,0.0,3.0,,True,training,The bell is connected to at most two of the triangles.
A11NPNK8885N99:3ATTHHXXWBWP7VVXH2QKINKHBEPIXX,1419456137983,0,0.0,0.0,4.0,True,control,The bell is not connected to more than 3 of the triangles.
A11NPNK8885N99:3ATTHHXXWBWP7VVXH2QKINKHBEPIXX,1419456143654,0,2.0,,,True,critical,The letter is connected to some of the rectangles.
A11NPNK8885N99:3ATTHHXXWBWP7VVXH2QKINKHBEPIXX,1419456149239,0,2.0,,,True,control,There are no connections from the circles to the scissors.
A11NPNK8885N99:3ATTHHXXWBWP7VVXH2QKINKHBEPIXX,1419456160766,0,0.0,0.0,-4.0,False,control,The letter is connected to more than half of the rectangles.
A11NPNK8885N99:3ATTHHXXWBWP7VVXH2QKINKHBEPIXX,1419456166326,0,2.0,,,True,critical,The bell is connected to some of the triangles.
A11NPNK8885N99:3ATTHHXXWBWP7VVXH2QKINKHBEPIXX,1419456174031,1,,,,True,control,There are more than three triangles.
A142ZRU284W9O:3SB4CE2TJW3A1DCZ5EY71PWYY6KAXL,1419455772519,0,0.0,0.0,4.0,True,training,The letter is not connected to any of the rectangles.
A142ZRU284W9O:3SB4CE2TJW3A1DCZ5EY71PWYY6KAXL,1419455780062,0,0.0,3.0,,True,training,The bell is connected to at most two of the triangles.
A142ZRU284W9O:3SB4CE2TJW3A1DCZ5EY71PWYY6KAXL,1419455784499,0,2.0,,,True,critical,The letter is connected to some of the rectangles.
A142ZRU284W9O:3SB4CE2TJW3A1DCZ5EY71PWYY6KAXL,1419455788225,0,-2.0,,,False,control,There are more than three triangles.
A142ZRU284W9O:3SB4CE2TJW3A1DCZ5EY71PWYY6KAXL,1419455796719,0,0.0,0.0,4.0,True,control,The bell is not connected to more than 3 of the triangles.
A142ZRU284W9O:3SB4CE2TJW3A1DCZ5EY71PWYY6KAXL,1419455803712,0,2.0,,,True,control,There are no connections from the circles to the scissors.
A142ZRU284W9O:3SB4CE2TJW3A1DCZ5EY71PWYY6KAXL,1419455809216,0,0.0,3.0,,True,control,The bell is connected to more than half of the triangles.
A142ZRU284W9O:3SB4CE2TJW3A1DCZ5EY71PWYY6KAXL,1419455812081,0,2.0,,,True,critical,The bell is connected to some of the triangles.
A150GMV1YQWWB3:3GS6S824SR52WW1Y4D7QLC2ROBDNWP,1419456267367,0,0.0,0.0,4.0,True,training,The letter is not connected to any of the rectangles.
A150GMV1YQWWB3:3GS6S824SR52WW1Y4D7QLC2ROBDNWP,1419456288331,0,0.0,3.0,,True,training,The bell is connected to at most two of the triangles.
A150GMV1YQWWB3:3GS6S824SR52WW1Y4D7QLC2ROBDNWP,1419456305614,0,2.0,,,True,control,There are no connections from the triangles to the bell.
A150GMV1YQWWB3:3GS6S824SR52WW1Y4D7QLC2ROBDNWP,1419456310741,0,2.0,,,True,critical,The scissors are connected to some of the circles.
A150GMV1YQWWB3:3GS6S824SR52WW1Y4D7QLC2ROBDNWP,1419456315547,1,,,,True,control,There are more than three triangles.
A150GMV1YQWWB3:3GS6S824SR52WW1Y4D7QLC2ROBDNWP,1419456325993,0,0.0,0.0,-4.0,False,control,The letter is connected to more than half of the rectangles.
A150GMV1YQWWB3:3GS6S824SR52WW1Y4D7QLC2ROBDNWP,1419456335616,0,0.0,0.0,4.0,True,control,The scissors are not connected to more than 3 of the circles.
A150GMV1YQWWB3:3GS6S824SR52WW1Y4D7QLC2ROBDNWP,1419456343332,0,2.0,,,True,critical,The letter is connected to some of the rectangles.
A175PJR0W3LO8I:3OS4RQUCRANYK1Q6BYSHQTGXCJ1BFI,1419430382505,0,0.0,0.0,4.0,True,training,The letter is not connected to any of the rectangles.
A175PJR0W3LO8I:3OS4RQUCRANYK1Q6BYSHQTGXCJ1BFI,1419430391850,0,0.0,3.0,,True,training,The bell is connected to at most two of the triangles.
A175PJR0W3LO8I:3OS4RQUCRANYK1Q6BYSHQTGXCJ1BFI,1419430415597,0,0.0,0.0,4.0,True,critical,The bell is connected to some of the triangles.
